forecast_date,forecast_day,site_catid,short_name,group,mod_max_avg8hr_ens,mod_max_avg8hr_rf,mod_max_avg8hr_gb,mod_max_avg8hr_gen1,mod_max_avg8hr_lr,mod_max_avg8hr_ab,mod_max_avg8hr_super_ens,mod_aqi_o3_ens,mod_aqi_o3_rf,mod_aqi_o3_gb,mod_aqi_o3_gen1,mod_aqi_o3_lr,mod_aqi_o3_ab,mod_aqi_o3_superens,mod_pm25avg_ens,mod_pm25avg_rf,mod_pm25avg_gb,mod_pm25avg_gen1,mod_pm25avg_lr,mod_pm25avg_ab,mod_pm25avg_superens,mod_aqi_pm_ens,mod_aqi_pm_rf,mod_aqi_pm_gb,mod_aqi_pm_gen1,mod_aqi_pm_lr,mod_aqi_pm_ab,mod_aqi_pm_superens,cmaq_prod_o3,cmaq_prod_pm,cmaq_bc_o3,cmaq_bc_pm,cmaq_prod_o3_aqi,cmaq_prod_pm_aqi,cmaq_bc_o3_aqi,cmaq_bc_pm_aqi,hrrr_smoke_pm,hrrr_smoke_pm_aqi,fcst_ozone_aqi,fcst_ozone_ppb,fcst_pm25_aqi,fcst_pm25_ugm3,region,month,lat,lon,weekday,temp_f_sunup_max,winddir_sunup_mode,winddir_mode,winddir_prevday_mode,mixingheight_magl,mixing_height_avg_sound_1and2,pw_mm_avg,rh_sunup_avg,rh_avg,background_10m_500m_avg_24hr_ozone_noon_ppb,background_24hr_pm25_17z,low_or_med_clouds,temp_24hr_change_f_max,departure_from_avg_temp,visibility_miles_avg,windspd_mph_avg,air_temp,mixdepth_10m,sp_humidity_10m,h2o_mixrate_10m,terr_msl_10m,receptor_height_10m,forecast_day_10m,background_origin_10m,mixdepth_500m,sp_humidity_500m,h2o_mixrate_500m,terr_msl_500m,receptor_height_500m,forecast_day_500m,background_origin_500m,roll_ozone_aqi,roll_pm25_aqi,roll11_ozone_aqi,roll11_pm25_aqi,persist_ozone_aqi,persist_pm25_aqi,bb3_ozone_aqi,bb3_pm25_aqi,cmaq_o3,cmaq_pm,cmaq_o3_aqi,cmaq_pm_aqi,mod_max_avg8hr,mod_aqi_o3,mod_pm25avg,mod_aqi_pm,cmaq_ozone_ppb,cmaq_ozone_aqi,count_ozone_obs,count_pm25_obs,obs_ozone_ppb,obs_pm25_ugm3,obs_ozone_aqi,obs_pm25_aqi
2022-03-15,1,27-053-2006,St_Louis_Park,Minneapolis-St. Paul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,6.884,6.549,7.656,10.412,9.6,7.766,34,28,27,32,43,40,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,MSP,3,45.061746,-93.353996,1,48.89,S,S,N,38.44,19.22,8.965,0.723333333333333,0.72,41.835,10.29,0.621666666666667,9.59,11.85,9.998,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-15,1,27-075-0005,Ely,Ely,48.151,44.761,45.197,45.272,59.423,46.104,45.224,44,41,42,42,64,43,42,7.367,6.807,6.346,6.057,10.317,7.308,6.781,30,28,26,25,43,30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,NE,3,47.824724,-91.832975,1,46.5,SW,SW,Calm,469.85,330.075,12.665,0.6925,0.68,40.24,5.92,0.915833333333334,13.16,13,9.531,8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,50.9,3.8,46,16
2022-03-15,1,27-083-4210,Marshall,Marshall,52.043,48.126,45.848,48.628,67.173,50.437,49.162,48,44,42,44,90,46,45,7.625,7.597,4.989,7.857,10.324,7.36,8.61,32,31,20,32,43,30,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,SW,3,44.450439,-95.821504,1,58.61,SW,S,N,38.44,19.22,8.965,0.588333333333333,0.62,42.45,8.37,0.286666666666667,18.48,23.01,10,11.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,42.9,4.8,39,20
2022-03-15,1,27-095-3051,Mille_Lacs,Mille Lacs,46.697,43.154,43.818,45.69,53.007,47.816,44.679,43,40,40,42,49,44,41,11.053,13.141,11.02,11.043,10.128,9.936,12.885,46,53,46,46,42,41,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,40,9.6,Central,3,46.548965,-93.675734,1,44.8,SW,S,Calm,38.44,19.22,8.965,0.731666666666667,0.74,39.27,7.816,0.749166666666667,9.95999999999999,9.2,7.966,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,51.9,NA,47,NA
2022-03-15,1,27-109-5008,Rochester,Rochester,52.579,50.423,50.001,49.607,64.573,48.291,54.359,48,46,46,45,80,44,50,12.455,11.61,10.73,10.548,17.206,12.18,11.765,52,48,45,44,62,51,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,40,9.6,SE,3,43.904,-92.4921,1,50.72,SW,S,NE,38.44,19.22,8.965,0.756666666666667,0.79,43.95,9.7,0.535833333333333,6.7,14.76,9.509,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,46.1,4.3,43,18
2022-03-15,1,27-123-0868,Ramsey_Health,Minneapolis-St. Paul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.311,11.117,11.97,11.783,12.008,14.674,11.558,51,46,50,49,50,56,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,MSP,3,44.9323,-93.0559,1,48.09,Calm,Calm,Calm,38.44,19.22,8.965,0.761666666666667,0.74,36.33,10.48,0.648333333333333,7.51000000000001,11.59,9.991,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-15,1,27-123-0871,Harding,Minneapolis-St. Paul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.656,13.044,10.4,10.528,10.356,13.95,12.012,48,53,43,44,43,55,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,MSP,3,44.9323,-93.0559,1,48.09,Calm,Calm,Calm,38.44,19.22,8.965,0.761666666666667,0.74,36.33,9.63,0.648333333333333,7.51000000000001,11.59,9.991,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,9.3,NA,39
2022-03-15,1,27-137-7001,Virginia,Virginia,47.863,44.533,44.437,45.306,59.005,46.032,44.416,44,41,41,42,64,43,41,13.681,15.69,15.989,10.553,14.413,11.763,15.616,54,58,59,44,56,49,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,NE,3,47.4274,-92.4973,1,45.78,SW,SW,Calm,469.85,330.075,12.665,0.695833333333333,0.7,40.24,8.33,0.813333333333333,11.19,13.48,8.576,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,4,NA,17
2022-03-15,1,27-137-7550,Duluth_WDSE,Duluth,41.238,39.66,38.671,39.691,48.112,40.058,40.971,38,36,35,36,44,37,37,10.104,12.202,10.9,8.493,8.228,10.698,11.083,42,51,45,35,34,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,Duluth,3,46.8434,-92.1866,1,42.89,SW,SW,Calm,469.85,330.075,12.665,0.766666666666667,0.72,41.16,8.52,0.78,7.76,10.89,9.02,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,50.2,NA,46,NA
2022-03-15,1,27-139-0505,Shakopee,South Twin Cities Metro,48.546,47.85,46.824,45.096,58.275,44.683,50.928,44,44,43,42,61,41,46,10.211,9.581,7.304,9.1,15.011,10.059,11.074,42,40,30,38,57,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,South_Metro,3,44.824871,-93.457042,1,50.69,S,S,NE,38.44,19.22,8.965,0.719166666666667,0.71,45,10.28,0.594166666666667,10.12,13.65,10,6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,45.4,7.5,42,31
2022-03-15,1,27-145-3052,St_Cloud,St. Cloud,47.436,44.507,48.458,44.374,52.441,47.401,47.517,44,41,44,41,48,44,44,14.471,14.815,13.74,14.231,14.89,14.679,14.93,56,57,54,55,57,56,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,Central,3,45.54415,-94.051625,1,43.64,S,S,Calm,38.44,19.22,8.965,0.778333333333333,0.74,42.12,8.79,0.675833333333333,6.35,11.1,7.431,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,45.9,8.3,42,35
2022-03-15,1,27-163-6016,Marine_St_Croix,North Twin Cities Metro,52.449,50.109,45.596,49.626,65.724,51.192,52.496,48,46,42,45,84,47,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,North_Metro,3,44.592622,-92.48438,1,52.84,S,S,Calm,38.44,19.22,8.965,0.718333333333333,0.73,44.69,9.28,0.641666666666667,9.83,14.54,9.873,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,44.4,NA,41,NA
2022-03-15,1,27-171-3201,St_Michael,North Twin Cities Metro,49.76,48.336,49.978,45.675,54.865,49.947,53.095,45,44,45,42,50,45,49,13.879,14.861,14.341,14.912,10.291,14.991,14.111,55,57,56,57,42,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,52,12.6,North_Metro,3,45.54415,-94.051625,1,43.64,S,S,Calm,38.44,19.22,8.965,0.778333333333333,0.74,42.01,8.85,0.675833333333333,6.35,11.1,7.431,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,48.8,9.7,44,40
2022-03-15,1,38-017-1004,Fargo,Moorhead,46.194,42.288,41.036,43.849,57.352,46.446,42.667,43,39,38,40,58,43,39,15.515,16.037,14.401,12.863,21.282,12.993,17.202,58,59,56,52,70,53,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,NW,3,46.9111,-96.8147,1,40.85,S,S,Calm,0,37.05,11.755,0.805833333333333,0.76,37.55,8.4,0.819166666666667,8.7,6.87,6.989,9.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,6.8,33,28
2022-03-15,1,55-063-0012,Winona,Winona,47.71,44.403,41.866,45.375,60.911,45.993,49.029,44,41,38,42,67,42,45,12.648,13.791,11.067,9.663,14.527,14.191,13.161,52,54,46,40,56,55,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,45,10.8,SE,3,43.8792,-91.2532,1,56.91,Calm,Calm,Calm,38.44,19.22,8.965,0.68,0.67,39.47,8.12,0.668333333333333,6.09,16.36,9.147,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,43
